whose_rating;rating_kuby;rating_ali
12 Years a Slave;;
1917;;
2001: A Space Odyssey;;
3 Idiots;;
A Beautiful Mind;;
A Clockwork Orange;;
Ah-ga-ssi;;
Aladdin;5;8
Alien;6;8
Aliens;;
All About Eve;;
Amadeus;;
American Beauty;;
American History X;;
Amores perros;;
Apocalypse Now;;
Avengers: Endgame;6;
Avengers: Infinity War;7;
Babam ve Oglum;;
Bacheha-Ye aseman;;
Back to the Future;9;7
Barry Lyndon;;
Batman Begins;;
Beauty and the Beast;6;8
Before Sunrise;;
Before Sunset;;
Ben-Hur;;6
Blade Runner;;
Braveheart;;
CapharnaÅm;;
Casablanca;;
Casino;;
Catch Me If You Can;7;7
Chinatown;;
Cidade de Deus;;
Citizen Kane;;6
City Lights;;
Coco;9;8
Cool Hand Luke;;
Dangal;;
Das Boot;;
Dead Poets Society;;
Der Untergang;;
Dersu Uzala;;
Det sjunde inseglet;;
Dial M for Murder;;
Die Hard;6;
Django Unchained;;
Double Indemnity;;
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;;
El secreto de sus ojos;;
Eternal Sunshine of the Spotless Mind;;
Everything Everywhere All at Once;;
Fargo;;
Fight Club;8;6
Finding Nemo;6;9
Ford v Ferrari;;
Forrest Gump;8;8
Full Metal Jacket;;
Gandhi;;
Gisaengchung;;
Gladiator;;
Gone Girl;;
Gone with the Wind;;
Good Will Hunting;;
Goodfellas;;
Gran Torino;;
Green Book;;9
Groundhog Day;;
Hachi: A Dog's Tale;;
Hacksaw Ridge;;
Hamilton;;8
Harry Potter and the Deathly Hallows: Part 2;7;
Hauru no ugoku shiro;;
Heat;;
Hotaru no haka;;
Hotel Rwanda;;
How to Train Your Dragon;9;10
Idi i smotri;;
Ikiru;;
Il buono, il brutto, il cattivo;;
In the Name of the Father;;
Incendies;;
Inception;9;
Indiana Jones and the Last Crusade;6;
Inglourious Basterds;;
Inside Out;6;9
Interstellar;;
Into the Wild;;
It Happened One Night;;
It's a Wonderful Life;;
Jagten;;
Jai Bhim;;
Jaws;;
Jodaeiye Nader az Simin;;
Joker;8;
Judgment at Nuremberg;;
Jurassic Park;6;
Kill Bill: Vol. 1;7;
Kimi no na wa.;;
Klaus;7;8
L.A. Confidential;;
La battaglia di Algeri;;
La haine;;
La passion de Jeanne d'Arc;;
La vita ? bella;;
Ladri di biciclette;;
Lawrence of Arabia;;
Le fabuleux destin d'AmÇlie Poulain;;
Le salaire de la peur;;
LÇon;8;
Les quatre cents coups;;
Life of Brian;;
Lock, Stock and Two Smoking Barrels;;
Logan;;
M - Eine Stadt sucht einen Mîrder;;
Mad Max: Fury Road;;
Mary and Max.;;10
Memento;;
Metropolis;;5
Million Dollar Baby;;8
Modern Times;;
Mononoke-hime;;
Monsters, Inc.;6;7
Monty Python and the Holy Grail;8;8
Mr. Smith Goes to Washington;;
Network;;
No Country for Old Men;;
North by Northwest;;
Nuovo Cinema Paradiso;;
Oldeuboi;;
On the Waterfront;;
Once Upon a Time in America;;
Once Upon a Time in the West;;
One Flew Over the Cuckoo's Nest;;
Pan's Labyrinth;;
Pather Panchali;;
Paths of Glory;;
Per qualche dollaro in pi?;;
Persona;;
Pirates of the Caribbean: The Curse of the Black Pearl;6;
Platoon;;
Prisoners;;
Psycho;;10
Pulp Fiction;9;6
Raging Bull;;
Raiders of the Lost Ark;;
Ran;;
Rashìmon;;
Ratatouille;7;7
Rear Window;;
Rebecca;;
Relatos salvajes;;
Requiem for a Dream;;
Reservoir Dogs;;
Rocky;;7
Room;;
Rush;;
Salinui chueok;;
Saving Private Ryan;;
Scarface;;
Schindler's List;;
Se7en;7;
Sen to Chihiro no kamikakushi;;
Seppuku;;
Sherlock Jr.;;
Shichinin no samurai;;
Shutter Island;;
Singin' in the Rain;;
SmultronstÑllet;;
Snatch;;
Some Like It Hot;;
Spider-Man: Into the Spider-Verse;7;8
Spider-Man: No Way Home;8;
Spotlight;;
Stand by Me;;
Star Wars;6;6
Star Wars: Episode VI - Return of the Jedi;6;7
Sunset Blvd.;;
Taare Zameen Par;;
Taxi Driver;;
Tengoku to jigoku;;
Terminator 2: Judgment Day;;
The Apartment;;
The Best Years of Our Lives;;
The Big Lebowski;7;3 (strasznie nudne)
The Bridge on the River Kwai;;
The Dark Knight;;
The Dark Knight Rises;;
The Deer Hunter;;
The Departed;;
The Elephant Man;;9
The Empire Strikes Back;;8
The Exorcist;5;6
The Father;;
The General;;
The Godfather;6;6
The Godfather Part II;;
The Gold Rush;;
The Grand Budapest Hotel;;
The Grapes of Wrath;;
The Great Dictator;;
The Great Escape;;
The Green Mile;7;
The Help;;
The Incredibles;5;8
The Intouchables;7;
The Kid;;
The Lion King;6;8
The Lives of Others;;
The Lord of the Rings: The Fellowship of the Ring;6;9
The Lord of the Rings: The Return of the King;5;10
The Lord of the Rings: The Two Towers;5;10
The Matrix;9;7
The Pianist;;
The Prestige;;
The Shawshank Redemption;7;6
The Shining;6;
The Silence of the Lambs;;9
The Sixth Sense;;
The Sound of Music;;
The Sting;;
The Terminator;5;
The Thing;;9
The Third Man;;
The Treasure of the Sierra Madre;;
The Truman Show;9;7
The Usual Suspects;;
The Wizard of Oz;;5
The Wolf of Wall Street;;
There Will Be Blood;;
Three Billboards Outside Ebbing, Missouri;;
To Be or Not to Be;;
To Kill a Mockingbird;;
Tìkyì monogatari;;
Tonari no Totoro;;
Top Gun: Maverick;;8
Toy Story;5;8
Toy Story 3;;10
Trainspotting;;
Unforgiven;;
Up;8;9
V for Vendetta;;
Vertigo;;
WALL?E;8;10
Warrior;;
Whiplash;;9
Witness for the Prosecution;;
Yìjinbì;;
